[ 2012-09-01T00:05:17+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003619s ]
[ 2012-09-01T00:05:17+08:00 ] /xxx2/ | INFO: Tag[ view_end ] --START--
[ 2012-09-01T00:05:17+08:00 ] /xxx2/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000641s ]
[ 2012-09-01T00:05:17+08:00 ] /xxx2/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000707s ]
[ 2012-09-01T00:05:20+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ route_check ] --START--
[ 2012-09-01T00:05:20+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run CheckRoute Behavior [ RunTime:0.001151s ]
[ 2012-09-01T00:05:20+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ route_check ] --END-- [ RunTime:0.001320s ]
[ 2012-09-01T00:05:20+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ app_begin ] --START--
[ 2012-09-01T00:05:20+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000724s ]
[ 2012-09-01T00:05:20+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000808s ]
[ 2012-09-01T00:05:20+08:00 ] /xxx2/index.php/Index/index_pwd | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.002374s ]
[ 2012-09-01T00:05:20+08:00 ] /xxx2/index.php/Index/index_pwd | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0  [ RunTime:0.000580s ]
[ 2012-09-01T00:05:20+08:00 ] /xxx2/index.php/Index/index_pwd | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.001962s ]
[ 2012-09-01T00:05:20+08:00 ] /xxx2/index.php/Index/index_pwd | SQL: SELECT `id`,`addr`,`info` FROM `think_link`  [ RunTime:0.000754s ]
[ 2012-09-01T00:05:20+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_template ] --START--
[ 2012-09-01T00:05:20+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run LocationTemplate Behavior [ RunTime:0.000815s ]
