[ 2012-08-15T20:39:46+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.000867s ]
[ 2012-08-15T20:39:46+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.000971s ]
[ 2012-08-15T20:39:46+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --START--
[ 2012-08-15T20:39:46+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.011276s ]
[ 2012-08-15T20:39:46+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011388s ]
[ 2012-08-15T20:39:46+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --START--
[ 2012-08-15T20:39:46+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ContentReplace Behavior [ RunTime:0.000641s ]
[ 2012-08-15T20:39:46+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run TokenBuild Behavior [ RunTime:0.000594s ]
[ 2012-08-15T20:39:46+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000386s ]
[ 2012-08-15T20:39:46+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.000632s ]
[ 2012-08-15T20:39:46+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002438s ]
[ 2012-08-15T20:39:46+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx\admin\Lib\Action\LoginAction.class.php:1) View.class.php 第 120 行.
[ 2012-08-15T20:39:46+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx\admin\Lib\Action\LoginAction.class.php:1) View.class.php 第 121 行.
[ 2012-08-15T20:39:46+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx\admin\Lib\Action\LoginAction.class.php:1) View.class.php 第 122 行.
[ 2012-08-15T20:39:46+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_end ] --START--
[ 2012-08-15T20:39:46+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.000591s ]
[ 2012-08-15T20:39:46+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.000653s ]
[ 2012-08-15T20:47:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ route_check ] --START--
[ 2012-08-15T20:47:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.001246s ]
[ 2012-08-15T20:47:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001363s ]
[ 2012-08-15T20:47:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-15T20:47:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000822s ]
