[ 2013-01-03T10:31:48+08:00 ] /xxx2/admin_e.php/Film/film_add | NOTIC: [8] Undefined variable: username 11864a1d399109c23c328244417654f0.php 第 66 行.
[ 2013-01-03T10:31:48+08:00 ] /xxx2/admin_e.php/Film/film_add | NOTIC: [8] Undefined variable: username 11864a1d399109c23c328244417654f0.php 第 66 行.
[ 2013-01-03T10:31:48+08:00 ] /xxx2/admin_e.php/Film/film_add | NOTIC: [8] Undefined variable: film_item 11864a1d399109c23c328244417654f0.php 第 140 行.
[ 2013-01-03T10:31:48+08:00 ] /xxx2/admin_e.php/Film/film_add | NOTIC: [8] Undefined variable: film_item 11864a1d399109c23c328244417654f0.php 第 169 行.
[ 2013-01-03T10:31:48+08:00 ] /xxx2/admin_e.php/Film/film_add | NOTIC: [8] Undefined variable: film_item 11864a1d399109c23c328244417654f0.php 第 175 行.
[ 2013-01-03T10:31:48+08:00 ] /xxx2/admin_e.php/Film/film_add | INFO: Run ParseTemplate Behavior [ RunTime:0.029846s ]
[ 2013-01-03T10:31:48+08:00 ] /xxx2/admin_e.php/Film/film_add | INFO: Tag[ view_parse ] --END-- [ RunTime:0.029926s ]
[ 2013-01-03T10:31:48+08:00 ] /xxx2/admin_e.php/Film/film_add | INFO: Tag[ view_filter ] --START--
[ 2013-01-03T10:31:48+08:00 ] /xxx2/admin_e.php/Film/film_add | INFO: Run ContentReplace Behavior [ RunTime:0.000861s ]
[ 2013-01-03T10:31:48+08:00 ] /xxx2/admin_e.php/Film/film_add | INFO: Run TokenBuild Behavior [ RunTime:0.000781s ]
[ 2013-01-03T10:31:48+08:00 ] /xxx2/admin_e.php/Film/film_add | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000292s ]
[ 2013-01-03T10:31:48+08:00 ] /xxx2/admin_e.php/Film/film_add | INFO: Run ShowRuntime Behavior [ RunTime:0.000568s ]
[ 2013-01-03T10:31:48+08:00 ] /xxx2/admin_e.php/Film/film_add | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002682s ]
[ 2013-01-03T10:31:48+08:00 ] /xxx2/admin_e.php/Film/film_add | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin_e\Lib\Action\FilmAction.class.php:1) View.class.php 第 120 行.
