[ 2012-09-11T00:06:00+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Run LocationTemplate Behavior [ RunTime:0.000942s ]
[ 2012-09-11T00:06:00+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Tag[ view_template ] --END-- [ RunTime:0.001030s ]
[ 2012-09-11T00:06:00+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Tag[ view_parse ] --START--
[ 2012-09-11T00:06:00+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Run ParseTemplate Behavior [ RunTime:0.010042s ]
[ 2012-09-11T00:06:00+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010145s ]
[ 2012-09-11T00:06:00+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Tag[ view_filter ] --START--
[ 2012-09-11T00:06:00+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Run ContentReplace Behavior [ RunTime:0.000553s ]
[ 2012-09-11T00:06:00+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Run TokenBuild Behavior [ RunTime:0.000533s ]
[ 2012-09-11T00:06:00+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000387s ]
[ 2012-09-11T00:06:00+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Run ShowRuntime Behavior [ RunTime:0.000624s ]
[ 2012-09-11T00:06:00+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002271s ]
[ 2012-09-11T00:06:00+08:00 ] /xxx2/admin.php/Index/addcatalog | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 120 行.
[ 2012-09-11T00:06:00+08:00 ] /xxx2/admin.php/Index/addcatalog | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 121 行.
[ 2012-09-11T00:06:00+08:00 ] /xxx2/admin.php/Index/addcatalog | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 122 行.
[ 2012-09-11T00:06:00+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Tag[ view_end ] --START--
[ 2012-09-11T00:06:00+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Run ShowPageTrace Behavior [ RunTime:0.000607s ]
[ 2012-09-11T00:06:00+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Tag[ view_end ] --END-- [ RunTime:0.000671s ]
[ 2012-09-11T00:06:01+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Tag[ route_check ] --START--
