[ 2012-09-01T21:44:46+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Run TokenBuild Behavior [ RunTime:0.000534s ]
[ 2012-09-01T21:44:46+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000524s ]
[ 2012-09-01T21:44:46+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Run ShowRuntime Behavior [ RunTime:0.000764s ]
[ 2012-09-01T21:44:46+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002564s ]
[ 2012-09-01T21:44:46+08:00 ] /xxx2/admin.php/Index/addcatalog | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 120 行.
[ 2012-09-01T21:44:46+08:00 ] /xxx2/admin.php/Index/addcatalog | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 121 行.
[ 2012-09-01T21:44:46+08:00 ] /xxx2/admin.php/Index/addcatalog | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 122 行.
[ 2012-09-01T21:44:46+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Tag[ view_end ] --START--
[ 2012-09-01T21:44:46+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Run ShowPageTrace Behavior [ RunTime:0.000971s ]
[ 2012-09-01T21:44:46+08:00 ] /xxx2/admin.php/Index/addcatalog | INFO: Tag[ view_end ] --END-- [ RunTime:0.001053s ]
[ 2012-09-01T21:44:47+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Tag[ route_check ] --START--
[ 2012-09-01T21:44:47+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Run CheckRoute Behavior [ RunTime:0.000884s ]
[ 2012-09-01T21:44:47+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Tag[ route_check ] --END-- [ RunTime:0.000990s ]
[ 2012-09-01T21:44:47+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Tag[ app_begin ] --START--
[ 2012-09-01T21:44:47+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000582s ]
[ 2012-09-01T21:44:47+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000646s ]
[ 2012-09-01T21:44:47+08:00 ] /xxx2/admin.php/Index/catalog | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) IndexAction.class.php 第 196 行.
[ 2012-09-01T21:44:47+08:00 ] /xxx2/admin.php/Index/catalog | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.002368s ]
[ 2012-09-01T21:44:47+08:00 ] /xxx2/admin.php/Index/catalog | SQL: SELECT COUNT(*) AS tp_count FROM `think_catalog` LIMIT 1   [ RunTime:0.000791s ]
[ 2012-09-01T21:44:47+08:00 ] /xxx2/admin.php/Index/catalog | SQL: SELECT `id`,`f_cata`,`s_cata`,`isf`,`f_id`,`p_id` FROM `think_catalog`  [ RunTime:0.000388s ]
[ 2012-09-01T21:44:47+08:00 ] /xxx2/admin.php/Index/catalog | NOTIC: [8] Undefined variable: show IndexAction.class.php 第 206 行.
[ 2012-09-01T21:44:47+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Tag[ view_template ] --START--
[ 2012-09-01T21:44:47+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Run LocationTemplate Behavior [ RunTime:0.000803s ]
